"room1","room2","code","room1.use","room1.area","room1.occupancy","room2.use","room2.area","room2.occupancy","ACPH.1.2","ACPH.2.1","air.volume.moved"
"P288","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P289","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P290","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P291","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P292","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P293","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P294","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P295","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P296","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P297","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P298","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P299","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P300","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P301","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P302","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P303","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P304","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P305","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P306","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P307","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P308","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P309","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P310","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P311","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P312","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P314","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P315","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P316","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P317","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P318","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P319","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P320","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P321","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P322","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P323","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P324","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P325","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P326","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P327","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P328","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P329","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P330","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P331","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P332","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P333","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P334","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P335","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P336","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"P337","corridor",3,"cabin",16,4,"corridor",60,NA,0.0133333333333333,0.05,2.4
"Plaza","Art.Gallery",11,"foyer",486,NA,"recreation",112,40,2.175,0.501234567901234,730.8
"savoy.dining.room","foyer1",100,"dining",486,136,"foyer",30,NA,3,0.185185185185185,270
"vivaldi.dining.room","foyer1",100,"dining",486,136,"foyer",30,NA,3,0.185185185185185,270
